原反名,ロール単位の長さ
15020-AX5R-1440X300F-A   P,300
30066-AY00- 640X200F-AGA0C,200
0R040-8Y0B- 680X200F-AGA1C,200
FEL4004AY-10WD-1000X100,100
FEL3002BY05-10WD-1000X 95   LG,95
15020-AX5R-1300X300F-A   P,300
FEL3002BY05-10WD-1000X100   LG,100
50080-AY0B- 870X200F-ABG1C,200
50080-AY0B- 870X200F-ABG1F,200
50080-AY0B- 870X200F-A   C,200
50080-AY0B- 870X200F-A   C,200
50080-AY0B- 680X200F-ABG1C,200
50080-AY0B- 680X200F-ABG1F,200
50080-AY0B- 870X200F-ABG1F,200
50080-AY0B- 680X200F-ABG1F,200
25020-AG00- 750X400F-AGR0C,400
FEL4004AY-10WD-1000X100,100
FEL4004AY-10WD-1000X100,100
30040-AG00- 780X300F-A   C,300
15020-AX5R-1440X300F-A   P,300
15020-AX5R-1440X300F-A   P,300
50080-AY0B- 680X200F-AGA1F,200
50080-AY0B- 870X200F-AGA1C,200
50080-AY0B- 870X200F-A   C,200
50080-AY0B- 870X200F-A   C,200
30040-AG00- 780X300F-A   C,300
40100-AG00-1080X105F-A,105
40100-AG00-1080X105F-A,105
50080-AY0B- 680X200F-AGA1F,2100
30060-AG00-1000X100F-A   C,100
15025-AH1F-1550X250F-A   S,250
50080-AY0B- 870X200F-A   F,200
30040-AG00- 780X300F-A   C,300
50080-AY0B- 870X200F-A   F,200
15025-AH1F-1550X250F-A   S,250
15020-AX5R-1300X300F-A   P,300
15020-AX5R-1300X300F-A   P,300
30060-AG00-1000X100F-ABK0C,100
30060-AG00-1000X200F-A   C,200
30060-AG00-1000X200F-A   C,200
30044-AG00-1000X200F-AWH1C,200
15020-AX5R-1300X300F-A   P,300
15020-AX5R-1300X300F-A   P,300
30060-AG00-1000X200F-A   C,200
15025-AH1F-1550X250F-A   S,250
FEL4004AY-10WD-1000X100,100
FEL4004AY-10WD-1000X100,100
FEL3002BY05-10WD-1000X 95   LG,95
FEL3002BY05-10WD-1000X100   LG,100
