製品名,ロール単位の長さ
0R040-8Y0B- 870X200F-AGA1H,200
0R040-8Y0B- 400X200G-AGA1C,200
30033-BY00- 640X200F-AGA0C,200
15020-JX5R-1440X300F-A   R,300
15030-JW07-1550X 40F-A   G,100
UROTORASUEDO-KV  - 790X 20F-ABK0,100
30040-AG00-1000X100F-A   C,100
20020-JP17-1440X300F-A   Q,300
25025-JP66-1230X250F-A   Q,250
30020-BG00-1000X200F-A   C,200
30030-BG00-1000X100F-A   C,100
20020-BY00- 640X125F-AWH1C,125
0R040-8Y0B- 680X200F-ABG1C,200
0R040-8Y0B- 250X200H-AGA1C,200
FEL3002BY05WDLG-EC,100
0R040-8Y0B- 870X200F-ABG1C,200
0R040-8Y0B- 680X200F-AGA1C,200
0R040-8Y0B- 820X200F-A   C,200
0R040-8Y0B- 830X200F-ABG1C,200
40040-R10W- 870X 95  LG,100
30020-BG00-1030X200F-ABK0C,200
30030-AT60-1000X200F-A   C,200
30040-AS60-1000X200F-A   C,200
30100-AG00-1000X 50F-A   X,100
0R040-8Y0B- 530X200F-ABG1C,200
30020-BY00- 650X250F-AWH1C,250
0R040-8Y0B- 870X200F-A   C,200
40040-R10W- 316X 95,100
15020-JX5R-1300X300F-A   R,300
15020-JX5R- 770X300F-A   R,300
40050-BG00-1080X210F-A   X,210
15025-JH1F-1550X250F-A   S,250
0R040-8Y0B- 535X200F-AGA1C,200
40040-R10W- 870X 95,95
30020-A05W- 870X 97   LG,97
25020-AG00- 750X200F-AGR0C,200
40040-E10W- 870X 95,95
30020-BG00- 780X300F-A   V,300
30060-AG00-1000X100F-A   X,100
30030-BG00-1000X100F-ABK0C,100
30060-AG00-1000X100F-A   C,100
30022-BG00-1000X200F-AWH1C,200
15025-NR28-1550X250F-ABK0J,250
15024-XXXX-1600X 10F-A   B,17
30020-BY00- 450X250F-A   C,250
25020-FG00- 740X200F-AGR0M,200
15015-JP67-1550X 20F-A   P,20
22022-8A00-1050X210F-A   C,210
30030-AP66- 550X300F-ABK0M,300
30050-AS60-1000X100F-A   C,100
30020-BG20-1050X200F-AGA0U,200
0R040-8Y0B- 680X200F-A   C,200
30020-BY00- 640X250F-A   C,250
10010-JP67-1550X 20F-A   P,20
10025-JR28-1550X 20F-A   G,20
15020-JW07-1550X 20F-A   V,20
30020-KG00- 935X200F-AGA1C,200
30060-AG00-1030X100F-A   C,100
20010-H600-1180X250F-AWH1C,250
20010-K600-1180x125FAWH1C,150
05020-AG00-630x100FAWH1P,100
30020-BG00- 780X300FA    V,300
15015-KA00-1000x200FA C,212.9166666666667
8H008-NM00-1000x200FABK0C,200
30020-BG20-1050X200Z-AGA0U,200
20022-NP17-1060X300F-A   J,300
25025-AP17-1530X 50F-A   P,50
30200-DG00-1000x192ZABK0,200
30050-KG00-1000x100FABK0C,100
30040-BG00-1000x100FA　C,100
15025-AX17-1100X200F-A   E,200
10010-NY00-1100X300FA WH1V,300
30100-DG20-1020X 50FA GA0U,50
30050-JG00-1030X100F-ABK0H,100
30120-DG00-980x200ZA,100
30120-DG00-980x215ZA,215
30120-DG00-980x150ZABK0,200
30120-DS60- 970X215ZA,215
5H006-BE00-506x600FAGD0C,600
15010-BA00-1000X 75FA BK0C,75
30010-BG00-1030X200FA BK0A,200
15015-BP61-1000x200FA C,200
0R040-8Y0B- 510X200G-A   C,200
30050-JG00-1030x200FABK0Q,200
5S002-NA00- 930X200QA BK0C,200
30200-DG00-970x201ZABK0,300
30100-DG20-1020X210ZA GA0U,400
30150-DG20-1000X185ZA GA0U,200
30200-DG00-980x200ZA,200
30240-DG00-1000x202ZABK0,202
30033-BY00-640x200FAGA0C,200
30025-BS60-1000X200FA    C,200
30020-BG00-1050x200FA C,200
20010-B600-1250x250FAWH1C,250
30100-JG00-1000x100FABK0Q,100
5S008-ND00-1000x400FA C,400
30050-AG20-1050X200ZA GA0U,200
30100-AG00-1000X200ZA,200
30150-DG20-1000X200ZA GA0U,200
30200-DG20-1000x200ZAGA0U,200
30200-NG20-1020x200ZA GA0U,200
30100-DG20-1000x178ZAGA0U,200
30120-DG00- 980X200ZA,200
30150-DG00-980x200ZABK0,200
30250-DG00-960x201ZABK0,300
30025-BV90-1000x200FA C,200
15010-BA00-1000x75FABK0C,75
30010-BG00-1030X200F-ABK0D,200
30020-BG00-1030X200F-ABK0D,200
30250-DG00-970x200ZA,200
30200-DG00-980x170ZABK0,170
30020-KG00-1030x200FABK0C,200
30020-KG00-1000x200FA H,200
30020-BG00-1030x200FABK0C,200
30040-JG00-1030x200FABK0Q,200
30080-AG00-1000X202ZA,228.5714285714286
30050-AG00-1000x190ZA,200
30050-AG00-1000x200ZA,200
30100-AG00-1000x200ZABK0,200
30200-DG20-1000X120ZA GA0U,200
30100-DG20-1020x200ZAGA0U,200
30120-DG00-　970X151ZA BK0,151
30015-KE20-1050x300FAGA0U,300
15030-AA00-1070X136ZA,150
15030-AA00-1070x100ZA,100
30100-DG20-1000x150ZAGA0U,200
30010-KG00-1030x200FABK0C,200
30060-JG20-1100X100FA GA0Q,100
30200-JG00-1010x200ZABK0Q,200
30150-JG00-1010x200ZABK0Q,200
30030-JG20-1050X200FA GA0Q,200
30030-JG00-1030X200FA    Q,200
30040-JG00-1050x200FA Q,200
30200-DG00-980x200ZABK0,200
8H008-NM00-1050x200FABK0C,200
